"","word","index","negative","positive","sentiment"
"1","afraid",174,1,0,-1
"2","aggressive",159,1,0,-1
"3","approval",76,0,1,1
"4","approval",323,0,1,1
"5","aspire",158,0,1,1
"6","assault",231,1,0,-1
"7","attacks",93,1,0,-1
"8","award",42,0,1,1
"9","award",331,0,1,1
"10","awkward",272,1,0,-1
"11","bad",75,1,0,-1
"12","best",62,0,1,1
"13","better",171,0,1,1
"14","better",248,0,1,1
"15","blackmail",310,1,0,-1
"16","boost",233,0,1,1
"17","boost",317,0,1,1
"18","boundless",220,0,1,1
"19","burn",301,1,0,-1
"20","clear",141,0,1,1
"21","collapse",38,1,0,-1
"22","complicated",111,1,0,-1
"23","corrupt",273,2,0,-2
"24","corrupt",285,1,0,-1
"25","corruption",108,1,0,-1
"26","corruption",307,1,0,-1
"27","crime",149,1,0,-1
"28","crisis",12,1,0,-1
"29","crisis",37,1,0,-1
"30","crisis",143,1,0,-1
"31","crisis",174,1,0,-1
"32","crisis",189,1,0,-1
"33","crisis",272,1,0,-1
"34","crisis",302,1,0,-1
"35","crisis",305,1,0,-1
"36","crisis",316,1,0,-1
"37","crisis",335,2,0,-2
"38","crisis",337,1,0,-1
"39","critical",204,1,0,-1
"40","criticism",198,1,0,-1
"41","crumble",187,1,0,-1
"42","damage",72,1,0,-1
"43","danger",52,1,0,-1
"44","danger",91,1,0,-1
"45","dangerous",40,1,0,-1
"46","dead",3,1,0,-1
"47","death",321,1,0,-1
"48","debt",335,1,0,-1
"49","decline",222,1,0,-1
"50","defeat",139,0,1,1
"51","denied",237,1,0,-1
"52","difficulty",28,1,0,-1
"53","dilemma",156,1,0,-1
"54","dirty",247,1,0,-1
"55","discord",276,1,0,-1
"56","disgrace",275,1,0,-1
"57","disillusioned",278,1,0,-1
"58","distrust",71,1,0,-1
"59","doubts",257,1,0,-1
"60","eminence",98,0,1,1
"61","envy",243,0,1,1
"62","explosive",11,1,0,-1
"63","fails",18,1,0,-1
"64","failure",24,1,0,-1
"65","failure",271,1,0,-1
"66","faith",302,0,1,1
"67","fake",104,1,0,-1
"68","fans",245,0,1,1
"69","fascist",318,1,0,-1
"70","fault",246,1,0,-1
"71","fear",211,1,0,-1
"72","fear",297,1,0,-1
"73","fears",253,1,0,-1
"74","fraud",103,1,0,-1
"75","freedom",2,0,2,2
"76","freedom",77,0,1,1
"77","freedom",84,0,1,1
"78","freedom",102,0,1,1
"79","freezing",230,1,0,-1
"80","gain",76,0,1,1
"81","gains",210,0,1,1
"82","gains",215,0,1,1
"83","genuine",19,0,1,1
"84","golden",281,0,1,1
"85","good",75,0,1,1
"86","good",122,0,1,1
"87","good",182,0,1,1
"88","good",307,0,1,1
"89","grand",13,0,1,1
"90","grand",20,0,1,1
"91","grand",47,0,1,1
"92","hail",127,0,1,1
"93","happy",28,0,1,1
"94","harmony",115,0,1,1
"95","hate",141,1,0,-1
"96","hatred",151,1,0,-1
"97","helpless",220,1,0,-1
"98","hot",55,0,1,1
"99","illness",253,1,0,-1
"100","improved",69,0,1,1
"101","injustice",321,1,0,-1
"102","innovation",307,0,1,1
"103","innovative",214,0,1,1
